Sample,mean,sd
WAT_2x,9.59223338831822,0.145522003424217
IDT_2x,10.1845859029272,0.0291800856570804
O101_09,11.0138134754233,0.0467124316405144
O101_12,11.1438033367622,0.178866815432055
O101_05,11.57216525703,0.0778173860797712
O101_07,11.6437318097765,0.0400301467160237
O101_11,11.658737765199,0.0872431740223658
O101_08,11.8801761086898,0.0827263073789183
O101_03,12.0414183394516,0.106710831491574
O101_10,12.6774434420983,0.0804011578403097
O101_13,12.784453464278,0.21327449019487
O101_06,13.9496890189547,0.0979895876993656
IDT_3x,15.2743985104555,0.111975236557618
WAT_4x,17.3490567658208,0.177945356637753
O101_02,18.334425293597,0.181574575213185
